经度        纬度         深度       速度
  113.820   40.020    0.000    1.814
  113.820   40.010    0.000    1.200
  113.820   40.000    0.000    1.543
  113.820   39.990    0.000    1.731
  113.820   39.980    0.000    1.100
  113.820   39.970    0.000    0.500
  113.820   39.960    0.000    0.500
  113.820   39.950    0.000    0.500
  113.820   39.940    0.000    0.945
  113.820   39.930    0.000    1.232
  113.820   39.920    0.000    1.013
  113.820   39.910    0.000    1.001
  113.820   39.900    0.000    0.998
  113.820   39.890    0.000    0.998
  113.820   39.880    0.000    0.999
  113.820   39.870    0.000    1.000
  113.840   40.200    0.000    1.000
  113.840   40.190    0.000    1.000
  113.840   40.180    0.000    1.000
  113.840   40.170    0.000    1.000
  113.840   40.160    0.000    1.000
  113.840   40.150    0.000    1.000
  113.840   40.140    0.000    0.999
  113.840   40.130    0.000    0.999
  113.840   40.120    0.000    1.000
  113.840   40.110    0.000    1.000
  113.840   40.100    0.000    1.001
  113.840   40.090    0.000    1.000
  113.840   40.080    0.000    0.995
  113.840   40.070    0.000    0.978
  113.840   40.060    0.000    0.920
  113.840   40.050    0.000    0.543
  113.840   40.040    0.000    0.506
  113.840   40.030    0.000    1.282
  113.840   40.020    0.000    1.702
  113.840   40.010    0.000    1.725
  113.840   40.000    0.000    1.631
  113.840   39.990    0.000    1.721
  113.840   39.980    0.000    1.937
  113.840   39.970    0.000    0.944
  113.840   39.960    0.000    0.500
  113.840   39.950    0.000    0.688
  113.840   39.940    0.000    0.889
  113.840   39.930    0.000    0.960
  113.840   39.920    0.000    1.000
  113.840   39.910    0.000    1.000
  113.840   39.900    0.000    0.999
  113.840   39.890    0.000    0.998
  113.840   39.880    0.000    0.999
  113.840   39.870    0.000    1.000
  113.860   40.200    0.000    1.000
  113.860   40.190    0.000    1.000
  113.860   40.180    0.000    1.000
  113.860   40.170    0.000    1.000
  113.860   40.160    0.000    1.000
  113.860   40.150    0.000    1.000
  113.860   40.140    0.000    0.999
  113.860   40.130    0.000    0.999
  113.860   40.120    0.000    1.000
  113.860   40.110    0.000    1.000
  113.860   40.100    0.000    1.000
  113.860   40.090    0.000    0.999
  113.860   40.080    0.000    0.995
  113.860   40.070    0.000    0.985
  113.860   40.060    0.000    0.960
  113.860   40.050    0.000    0.785
  113.860   40.040    0.000    0.619
  113.860   40.030    0.000    0.917
  113.860   40.020    0.000    1.098
  113.860   40.010    0.000    1.480
  113.860   40.000    0.000    1.089
  113.860   39.990    0.000    0.501
  113.860   39.980    0.000    2.020
  113.860   39.970    0.000    2.238
  113.860   39.960    0.000    1.548
  113.860   39.950    0.000    1.425
  113.860   39.940    0.000    1.306
  113.860   39.930    0.000    1.035
  113.860   39.920    0.000    1.009
  113.860   39.910    0.000    1.002
  113.860   39.900    0.000    1.000
  113.860   39.890    0.000    0.999
  113.860   39.880    0.000    0.999
  113.860   39.870    0.000    1.000
  113.880   40.200    0.000    1.000
  113.880   40.190    0.000    1.000
  113.880   40.180    0.000    1.000
  113.880   40.170    0.000    1.000
  113.880   40.160    0.000    1.000
  113.880   40.150    0.000    1.000
  113.880   40.140    0.000    0.999
  113.880   40.130    0.000    0.999
  113.880   40.120    0.000    1.000
  113.880   40.110    0.000    1.000
  113.880   40.100    0.000    1.000
  113.880   40.090    0.000    0.999
  113.880   40.080    0.000    0.997
  113.880   40.070    0.000    0.992
  113.880   40.060    0.000    0.982
  113.880   40.050    0.000    0.956
  113.880   40.040    0.000    0.926
  113.880   40.030    0.000    0.683
  113.880   40.020    0.000    0.539
  113.880   40.010    0.000    1.645
  113.880   40.000    0.000    2.019
  113.880   39.990    0.000    0.500
  113.880   39.980    0.000    0.500
  113.880   39.970    0.000    1.604
  113.880   39.960    0.000    2.185
  113.880   39.950    0.000    1.662
  113.880   39.940    0.000    1.508
  113.880   39.930    0.000    1.094
  113.880   39.920    0.000    1.016
  113.880   39.910    0.000    1.005
  113.880   39.900    0.000    1.001
  113.880   39.890    0.000    1.000
  113.880   39.880    0.000    1.000
  113.880   39.870    0.000    1.000
  113.900   40.200    0.000    1.000
  113.900   40.190    0.000    1.000
  113.900   40.180    0.000    1.000
  113.900   40.170    0.000    1.000
  113.900   40.160    0.000    1.000
  113.900   40.150    0.000    1.000
  113.900   40.140    0.000    1.000
  113.900   40.130    0.000    1.000
  113.900   40.120    0.000    1.000
  113.900   40.110    0.000    1.000
  113.900   40.100    0.000    1.001
  113.900   40.090    0.000    1.000
  113.900   40.080    0.000    0.999
  113.900   40.070    0.000    0.996
  113.900   40.060    0.000    0.992
  113.900   40.050    0.000    0.987
  113.900   40.040    0.000    0.979
  113.900   40.030    0.000    0.906
  113.900   40.020    0.000    0.811
  113.900   40.010    0.000    1.377
  113.900   40.000    0.000    1.980
  113.900   39.990    0.000    0.500
  113.900   39.980    0.000    0.500
  113.900   39.970    0.000    0.500
  113.900   39.960    0.000    2.166
  113.900   39.950    0.000    2.034
  113.900   39.940    0.000    1.726
  113.900   39.930    0.000    1.229
  113.900   39.920    0.000    1.016
  113.900   39.910    0.000    1.005
  113.900   39.900    0.000    1.002
  113.900   39.890    0.000    1.000
  113.900   39.880    0.000    1.000
  113.900   39.870    0.000    1.000
  113.920   40.200    0.000    1.000
  113.920   40.190    0.000    1.000
  113.920   40.180    0.000    1.000
  113.920   40.170    0.000    1.000
  113.920   40.160    0.000    1.000
  113.920   40.150    0.000    1.000
  113.920   40.140    0.000    1.000
  113.920   40.130    0.000    1.000
  113.920   40.120    0.000    1.000
  113.920   40.110    0.000    1.001
